50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.970333,,,,,,,,,,,,cb778361-dd33-474a-bb6d-f958ad4189a1,5,,,"[61.0, 40.1]",3943077,0,,,,-3.131593,,Right Foot,,,"[51.0, 40.0]",,Ground Pass,,10.0005,,,,Enzo Fernandez,38718.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Argentina,779,['cc463bc2-8109-4f74-b9a3-b387fcd8b198'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.525,Pass,
,,,,,,,,,,,,,,,,,,,0.841383,,,,,,,,,,,,3cc63531-4039-468b-9b5b-6e1a5a0cea25,8,,,"[48.6, 41.0]",3943077,0,,,,1.7894653,,Right Foot,,,"[45.6, 54.5]",,Ground Pass,,13.829317,,,,Rodrigo Javier De Paul,7797.0,,,,,,1,From Kick Off,Enzo Fernandez,38718.0,Left Defensive Midfield,2,Argentina,779,['3d211175-7e8b-41dc-a1c6-5a98d41e64d9'],2,,,,,,,,,,,,,,,,,Argentina,779,00:00:02.003,Pass,
,,,,,,,,,,,,,,,,,,,0.974561,,,,,,,,,,,,51fd0d6a-4db7-4cd1-8d18-6d9757990950,11,,,"[45.6, 54.5]",3943077,0,,,,3.0796032,,Right Foot,,,"[31.1, 55.4]",,Ground Pass,,14.5279045,,,,Cristian Gabriel Romero,20572.0,,,,,,1,From Kick Off,Rodrigo Javier De Paul,7797.0,Right Defensive Midfield,2,Argentina,779,['d225cf91-7dff-4a8e-b51c-f46368545db7'],3,,,,,,,,,,,,,,,,,Argentina,779,00:00:03.489,Pass,
,,,,,,,,,,,,,,,,,,,2.164232,,,,,,,,,,,,6a25806b-21d8-4af6-9dda-16eb8a794c96,14,,,"[32.6, 52.8]",3943077,0,,,,-1.2003193,,Right Foot,,,"[50.7, 6.2]",,High Pass,,49.9917,,,,Nicolás Alejandro Tagliafico,5507.0,,True,,,,1,From Kick Off,Cristian Gabriel Romero,20572.0,Right Center Back,2,Argentina,779,['e483c0b1-1a35-4c98-b7a4-88b071afad07'],10,,,,,,,,,,,,,,,,,Argentina,779,00:00:10.238,Pass,
,,,,,,,,,,,,,,,,,,,1.255031,,,,,,,,,,,,37b14799-729b-47cb-9326-3d070da61814,17,,,"[49.7, 6.4]",3943077,0,,,,2.5515597,,Left Foot,,,"[27.0, 21.6]",,Ground Pass,,27.31904,,,,Lisandro Martínez,27768.0,,,,,,1,From Kick Off,Nicolás Alejandro Tagliafico,5507.0,Left Back,2,Argentina,779,['878504be-ae68-4f6b-9698-3612be35895c'],14,,,,,,,,,,,,,,,,,Argentina,779,00:00:14.574,Pass,
,,,,,,,,,,,,,,,,,,,1.690208,,,,,,,,,,,,ac64abe5-10dd-4b09-b206-bb1fd5634a5f,20,,,"[28.5, 22.6]",3943077,0,,,,2.0829496,,Left Foot,,,"[17.2, 42.7]",,Ground Pass,,23.05862,,,,Damián Emiliano Martínez,6909.0,,,,,,1,From Kick Off,Lisandro Martínez,27768.0,Left Center Back,2,Argentina,779,['351a8bf9-092d-41ad-aa52-3dc4085f90f6'],17,,,,,,,,,,,,,,,,,Argentina,779,00:00:17.491,Pass,
,,,,,,,,,,,,,,,,,,,3.199641,,,,,,,,,,,,ca653244-2893-412c-a1ad-9d8951dea711,24,,,"[19.5, 45.1]",3943077,0,,,,0.20495513,,Right Foot,,,"[83.0, 58.3]",,High Pass,,64.85746,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Damián Emiliano Martínez,6909.0,Goalkeeper,2,Argentina,779,"['3e050801-c2a7-43f9-9f60-fb3681c75d64', '8f267cc5-8033-48eb-86f0-497b98105390', 'f88776ae-672c-4b83-be41-432e04b32adf']",23,,,,,,,,,,,,,,,,,Argentina,779,00:00:23.079,Pass,True
,,,,,,,,,,,,,,,,,,,1.756952,,,,,,,,,,,,8f267cc5-8033-48eb-86f0-497b98105390,26,,,"[37.1, 21.8]",3943077,0,,,,0.260387,,Head,,,"[66.0, 29.5]",,High Pass,,29.908194,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Carlos Eccehomo Cuesta Figueroa,28567.0,Left Center Back,2,Argentina,779,"['6abd8354-2513-43c0-9b65-d3d158326e28', 'ca653244-2893-412c-a1ad-9d8951dea711']",26,,,,,,,,,,,,,,,,,Colombia,769,00:00:26.279,Pass,
,,,,,,,,,,,,,,,,,,,0.858531,,,,,,,,,,,,6abd8354-2513-43c0-9b65-d3d158326e28,27,,,"[54.1, 50.6]",3943077,0,,,,0.23846833,,Head,,,"[72.2, 55.0]",,Low Pass,,18.62713,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Recovery,1,From Kick Off,Enzo Fernandez,38718.0,Left Defensive Midfield,2,Argentina,779,"['25294973-50f7-49af-8c7a-c428d6e292d1', '8f267cc5-8033-48eb-86f0-497b98105390']",28,,,,,,,,,,,,,,,,,Argentina,779,00:00:28.036,Pass,
,,,,,,,,,,,,,,,,,,,1.541672,,,,,,,,,,,,a5082f0d-983c-4673-a5ad-39180622b1c9,32,,,"[72.4, 62.7]",3943077,0,,,,0.75976276,,Left Foot,,,"[88.4, 77.9]",,Ground Pass,,22.068983,,,,Gonzalo Ariel Montiel,28263.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Argentina,779,['50625efc-3195-4e45-815c-0ac805c6d619'],32,,,,,,,,,,,,,,,,,Argentina,779,00:00:32.069,Pass,
