50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.461031,,,,,,,,,,,,,75c14fff-3f44-4709-8e49-013339f1d93a,18,,,"[18.3, 19.7]",3942852,0,,,,2.164546,,Right Foot,,,,"[7.5, 35.7]",,Ground Pass,,19.303886,,,Camilo Andrés Vargas Gil,27225.0,,,,,,1,From Kick Off,Carlos Eccehomo Cuesta Figueroa,28567.0,Left Center Back,2,Colombia,769,['0d149697-99d3-4e3b-ac4c-1d6c0218f582'],12,,,,,,,,,,,,,,,,,,Colombia,769,00:00:12.644,Pass,
,,,,,,,,,,,,,,,,2.047743,,,,,,,,,,,,,40fdf4c1-ee59-4f14-812a-3887452a1db5,21,,,"[8.2, 38.1]",3942852,0,,,,0.91926324,,Left Foot,,,,"[23.3, 57.9]",,Ground Pass,,24.900803,,,Davinson Sánchez Mina,3494.0,,,,,,1,From Kick Off,Camilo Andrés Vargas Gil,27225.0,Goalkeeper,2,Colombia,769,['79043804-4ca8-4056-b24e-f2e04e03b63b'],15,,,,,,,,,,,,,,,,,,Colombia,769,00:00:15.506,Pass,
,,,,,,,,,,,,,,,,4.343692,,,,,,,,,,,,,1c3d4fa7-3ba0-4807-8c1f-8b0cc16c9a61,24,,,"[32.4, 63.7]",3942852,0,,,,-0.37679,,Right Foot,,,,"[92.8, 39.8]",,High Pass,,64.95668,,,Jhon Andrés Córdoba Copete,8817.0,,,,,,1,From Kick Off,Davinson Sánchez Mina,3494.0,Right Center Back,2,Colombia,769,['c0ce6f53-e55e-4b6e-8d19-71c04179c5be'],19,,,,,,,,,,,,,,,,,,Colombia,769,00:00:19.919,Pass,
,,,,,,,,,,,,,,,,0.966524,,,,,,,,,,,,,92991018-c0d8-4beb-91a1-dc77ebc9e8b2,30,,,"[30.6, 37.4]",3942852,0,,,,-0.5153726,,Right Foot,,,,"[44.9, 29.3]",,Ground Pass,,16.43472,,,Diego Nicolás De La Cruz Arcosa,28729.0,,,,,Recovery,1,From Kick Off,Manuel Ugarte Ribeiro,36659.0,Left Center Back,2,Colombia,769,"['39d8c21d-a5d3-4b58-afd1-504f04c34691', 'baa2f6dc-082d-4b0c-94ca-19e54cfca61c']",25,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:25.644,Pass,True
,,,,,,,,,,,,,,,,1.637802,,,,,,,,,,,,,e0d05e6a-da4e-4561-9213-7b4fc087dfa2,34,,,"[68.1, 53.9]",3942852,0,,,,-2.326053,,Left Foot,,,,"[48.8, 33.4]",,Ground Pass,,28.15564,,,Carlos Eccehomo Cuesta Figueroa,28567.0,,,,,Recovery,1,From Kick Off,Daniel Muñoz Mejía,27423.0,Right Back,2,Colombia,769,['bf74ade1-8558-483d-90a4-5b52a402cee5'],28,,,,,,,,,,,,,,,,,,Colombia,769,00:00:28.606,Pass,
,,,,,,,,,,,,,,,,1.153126,,,,,,,,,,,,,52b034bb-e83d-43b1-95cb-a473630a5e30,37,,,"[55.8, 25.9]",3942852,0,,,,-0.22627336,,Right Foot,,,,"[69.7, 22.7]",,Ground Pass,,14.26359,,,Luis Fernando Díaz Marulanda,27158.0,,,,,,1,From Kick Off,Carlos Eccehomo Cuesta Figueroa,28567.0,Left Center Back,2,Colombia,769,['833d1428-10b8-4b38-a227-ca7c6ff37eda'],33,,,,,,,,,,,,,,,,,,Colombia,769,00:00:33.198,Pass,
,,,,,,,,,,,,,,,,3.829287,,,,,,,,,,,,,3cb76b50-80e1-4b30-8a2b-f413f1dbbf28,39,,,"[69.7, 22.7]",3942852,0,,,,2.3154562,,Right Foot,,,,"[34.4, 61.0]",,High Pass,,52.086273,,,Davinson Sánchez Mina,3494.0,,,,,,1,From Kick Off,Luis Fernando Díaz Marulanda,27158.0,Left Wing,2,Colombia,769,['26ec9abf-8859-471e-89ce-35d63c722498'],34,,,,,,,,,,,,,,,,,,Colombia,769,00:00:34.352,Pass,
,,,,,,,,,,,,,,,,2.057357,,,,,,,,,,,,,8effb747-bb43-4ace-9592-2b6fd14643a1,42,,,"[34.0, 71.3]",3942852,0,,,,-2.2291296,,Right Foot,,,,"[14.2, 45.7]",,Ground Pass,,32.36356,,,Camilo Andrés Vargas Gil,27225.0,,,,,,1,From Kick Off,Davinson Sánchez Mina,3494.0,Right Center Back,2,Colombia,769,['e6b9fac6-ab88-4990-9bfe-6ffc23715575'],40,,,,,,,,,,,,,,,,,,Colombia,769,00:00:40.573,Pass,
,,,,,,,,,,,,,,,,4.348359,,,,,,,,,,,,,c2d3e036-fb5d-4fee-9728-afd074b11dcd,46,,,"[13.2, 38.1]",3942852,0,,,,-0.2824655,,Left Foot,,,,"[79.7, 18.8]",,High Pass,,69.244064,Incomplete,,,,,,,,,1,From Kick Off,Camilo Andrés Vargas Gil,27225.0,Goalkeeper,2,Colombia,769,"['5e6e64df-5f9c-4000-b990-ec13111a720c', '64b009fe-f731-4b20-8671-d7fa82fd2ea8']",44,,,,,,,,,,,,,,,,,,Colombia,769,00:00:44.545,Pass,True
,,,,,,,,,,,,,,,,1.870072,,,,,,,,,,,,,5e6e64df-5f9c-4000-b990-ec13111a720c,47,,,"[40.4, 61.3]",3942852,0,,,,-1.9865503,,Head,,,,"[32.1, 42.5]",,High Pass,,20.550669,,,Manuel Ugarte Ribeiro,36659.0,,,,,Recovery,1,Regular Play,Sebastián Enzo Cáceres Ramos,35690.0,Right Back,3,Uruguay,783,"['61fb6463-0973-4622-98bf-45ae3403c20c', 'c2d3e036-fb5d-4fee-9728-afd074b11dcd']",48,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:48.893,Pass,
